place_id,name,rating,reviews,main_category,workday_timing
ChIJyWO4Ydq3sw0RabTa1I4CNBE,O'Clock Coworking Space Agadir - Espace de travail et Salles de formation,4.9,126,Coworking space,Open 24 hours
ChIJsZNCAPq3sw0RZ0luc4iVNYo,Coworking Space Agadir - Work Harmony Space,5.0,51,Coworking space,Open 24 hours
ChIJfwom57fJsw0R06gfpYjQ9E4,Technopark Agadir,4.6,93,Coworking space,9 AM–6 PM
ChIJW0v7EGW3sw0RtqRMDzwAMfw,Social Innovation Space - SIS,4.7,14,Coworking space,9:30 AM–12 AM
ChIJ4am5D_rJsw0R-VugqMYvslI,Y'office,5.0,35,Business center,8:30 AM–9 PM
ChIJN2Rhb9fJsw0RWAne8m-_kQs,Mao coworking space,5.0,48,Coworking space,Open 24 hours
ChIJrQKZGz-3sw0RNWWuQv5ndVc,Keep Coworking,5.0,9,Coworking space,9 AM–6 PM
ChIJOyHxdBm3sw0RKGHRXKpx4xE,Nour Workspace,4.3,20,Office space rental agency,8 AM–7 PM
ChIJq1U1vxS3sw0REb7IRzJ68gA,EXCELLENTIA BUSINESS CENTER I CENTRE DE DOMICILIATION I AGADIR I MARRAKECH I MAROC,5.0,37,Business center,9 AM–6:30 PM
ChIJicVIOgDJsw0RAKDm4LyIx-c,IWGS coworking space,0.0,0,Coworking space,Open 24 hours
ChIJ6R76w0W3sw0RIyQSLF8WyAU,Adaoui Business Centre,4.4,9,Student career counseling office,8 AM–6:30 PM
ChIJrXDuhFzJsw0RE9e5RBuEAQo,GESTANCIA,0.0,0,Coworking space,8:30 AM–7 PM
ChIJU3yncNjJsw0RgUp5orIM8WE,Espace coworking,5.0,2,Internet cafe,
ChIJpRgzvUVNsg0RzcLKfKO2lvg,SunDesk Coworking,4.9,146,Coworking space,
ChIJe8zmu7fJsw0RjM2Epb0xmvk,CAFÉ LIBRAIRIE TADLSA BY CULTURA FOUNTY,4.6,129,Book store,7 AM–10 PM
ChIJ9ceFDeuzsw0RSiQcxooSlUQ,@SILYANETWORKING & SILIA PLAY,0.0,0,Coworking space,9 AM–11:30 PM
ChIJmb_zI9u3sw0RihH6vTinFGw,LogiFineX,0.0,0,Coworking space,
ChIJhWXa24-DQ2AR3L2_suBeUkM,Next Meeting,0.0,0,Coworking space,Open 24 hours
ChIJRcew9wV9eA0R7Ouih9qonaE,MySpace CoWorking,5.0,46,Coworking space,9 AM–7 PM
ChIJs1fbRCuHow0RwKA3rydojA0,Cooworkin' - Coworking & Entrepreneuriat Space,4.9,15,Coworking space,
ChIJbVZmHwCndw0REB1BamWDM4Y,Coworking Space Nador,5.0,7,Coworking space,10 AM–8 PM
ChIJh4bNSv4InAwR5XCYQDXGp_U,SpaceIT Coworking Nador,5.0,1,Coworking space,10 AM–8 PM
ChIJq-U1V4i5dw0RfzJIB3i0mAQ,Coworking Nador Global,0.0,0,Coworking space,Open 24 hours
ChIJZyRvIdWndw0RVx11SYBi2yM,Pratique Des Chariots Élévateurs,0.0,0,Coworking space,
ChIJ-4F164andw0R57PZx2kR9Xw,الناظور,0.0,0,Coworking space,
ChIJ6WjEt-aHow0Rzw9ZltU44BQ,Get inspired Coworking,4.6,13,Coworking space,9:30 AM–8:30 PM
ChIJOVE7k-iFow0R4Uzj7lkcTUE,Espace Focus Co-working & entrepreneuriat,0.0,0,Coworking space,9 AM–6 PM
ChIJQXtKeKRrpA0RYVwbOqGAuhc,ANAPEC : Agence Nationale de Promotion de l'Emploi et des Compétences_Fkih Ben Salah,4.8,4,Employment agency,Open 24 hours
ChIJR54KWmXWy0oRVGrDa9xDbqY,Moroccan cise Bénimellal,0.0,0,Coworking space,9 AM–6 PM
ChIJ4XWA_YUxdA0RxDnS8XkRV50,Espace Eucalyptus,4.8,47,Cafe,6:30 AM–11:30 PM
ChIJGWQ0EoYxdA0R0kBIjp7EPas,"Chambre de Commerce, d'Industrie et de Services_Al Hoceima",4.8,6,Chamber of Commerce,
ChIJ0fL0oosxdA0RyMBXbER3Cp4,Agence Urbaine d'Al Hoceima-الوكالة الحضرية للحسيمة,4.7,3,Government office,8:30 AM–4:30 PM
ChIJma1ahVBBpw0RMHLFjPNsuac,WORKEO,4.9,46,Coworking space,9 AM–9 PM
ChIJq-cS_kUxdA0R4GHR6SUjEbU,Tafouqt Media Works,0.0,0,Internet marketing service,Open 24 hours
ChIJ-6hUCHCLnw0RRfMoUAIC6_Q,OURSPACE,4.6,121,Coworking space,9 AM–11 PM
ChIJ6d5PSziLnw0RgiWKqEtWRdo,"BRIDGES TO THE FUTURE: Coworking, Incubation",4.9,48,Coworking space,Open 24 hours
ChIJ0aY8dhbvrw0RwiLirDttGrs,Goworking Marrakech,4.9,102,Coworking space,Open 24 hours
ChIJJXqET0Bjlw0ReBugKAfPX3Q,Kasbah Hôtel Xaluca Arfoud,4.6,1846,Hotel,
ChIJRQM_GWm3pw0RAo-snWmBkMY,Coworking Space Co Dux,5.0,53,Coworking space,8 AM–9 PM
ChIJZQpexMFFCw0RFs7X1djZ9ZM,Co-working Space The Hive Hub,4.8,12,Coworking space,Open 24 hours
ChIJp1vVWzvtrw0RxD1F28JK1i0,CoArcad,4.8,48,Learning center,9:30 AM–6 PM
ChIJC-AIQRvTpw0Rfm1D89-7w24,Hello Desk,4.9,118,Coworking space,Open 24 hours
ChIJzY7hhr3vrw0RU93cEf3CeF8,Targa Cowork Club - Coworking Space,5.0,495,Coworking space,7 AM–9 PM
ChIJn3q9JHvvrw0R-aOnNEVjvJQ,Cowork in Marrakech,4.8,66,Coworking space,9 AM–6:45 PM
ChIJZY3g-RshrA0RE6Hc1IfQUnQ,DarevoX,5.0,48,Coworking space,9 AM–10 PM
ChIJIWj-P7nvrw0RwFyAdoDr4bs,CWC Hub Coworking & Consulting,5.0,68,Coworking space,9 AM–7 PM
ChIJYbB15NYXng0RbTQb83MCGr0,leader space,4.9,19,Coworking space,9 AM–11 PM
ChIJkdAXsgnvrw0Rw2iwIk0TOHM,Codesk Coworking Space Marrakech,4.8,4,Coworking space,9 AM–6:30 PM
ChIJdwXZLAF6tA0RO-EiQ81iMQI,L’Blend,4.9,45,Coworking space,11 AM–9 PM
ChIJ19xVL8Vtpw0RWAOdeTaiNA0,Commons Agdal,4.8,53,Coworking space,Open 24 hours
ChIJYZ0dexVtpw0RmtfRk1lJiCQ,La Station coworking - coworking space Rabat- Location de bureaux,4.9,90,Coworking space,8:30 AM–6 PM
ChIJNZsojcVtpw0R3iz9h3Eb7sw,Syllabus Coworking Rabat,4.6,71,Coworking space,Open 24 hours
ChIJgy4iBxHTpw0Rdn_Kav8GyDE,BRAIN OFFICES,4.9,16,Business center,Open 24 hours
ChIJ3Wk-6f3DoA0R3IkSJUNHGUM,COLAB-Coworking-Space,5.0,4,Coworking space,9 AM–10 PM
ChIJ-epDf4zurw0RU-tFbsNYiJg,Fraktal Coworking,5.0,4,Office space rental agency,9 AM–6 PM
ChIJpaqxALMzpg0RBFMatBXGmNw,114_Coworking_space,5.0,3,Coworking space,9 AM–11 PM
ChIJFyhcXrgtpg0R_H1mgNWWE_0,Espace Coworking,5.0,1,Coworking space,9 AM–7 PM
ChIJf1_ws_PTpw0RTsbgOqSBJgw,133 Coworking,4.8,38,Coworking space,
ChIJEQEuhOcRuw0RpnATERE1Rng,Dar Digital Nomad - Coliving Space Ouarzazate,4.2,5,Coworking space,
ChIJ04v1oN2BCw0RDencGq0-Zcg,Cowork24 - Coworking Space à Tanger,5.0,41,Coworking space,Open 24 hours
ChIJKVFJ0sFZpw0RBZO7MwvL8Lg,T-land space,4.8,31,Coworking space,Open 24 hours
ChIJ10NFILWzsw0Rjrkhrik0woo,Nomadico Taghazout Bay - Coliving | Coworking,4.9,66,Guest house,
ChIJa1JspKzjsw0RcTm-bwXHRfs,Anrar,5.0,1,Coworking space,
ChIJj6DKo0pZpw0RMiRE4WidXOU,Coworking Connection Kénitra,4.9,50,Coworking space,8 AM–8 PM
ChIJQQYyopwTpw0Rpt_w-BIcCDU,Spaces - La Rocade,3.9,51,Office space rental agency,Open 24 hours
ChIJ96RH9DMhrA0R2WDwtkXvJ1s,CAD SAFI Coworking space,4.2,10,Coworking space,9 AM–7 PM
ChIJ0Zz0A9ezsw0RaGGUHBd1zHE,"Kasbari House - Coliving, Coworking, Laundromat",4.8,43,Laundromat,9 AM–6 PM
ChIJSac0LOVtpw0RYWxZ7n35L3U,Smart Digital Space,4.9,27,Coworking space,
ChIJv0Fqk2Avpg0Ruv665jOz4b8,Nomads Coworking Space,4.8,4,Coworking space,
ChIJPcPcokLvrw0Rjh-TWws6hdE,Coworking TZ Colab,4.2,5,Coworking space,9 AM–8 PM
ChIJvRUZc8XSpw0R_rYoyo2x0xs,Capital Desk,4.2,5,Coworking space,8:30 AM–7 PM
ChIJQboKD9JFCw0RGIFObj6AvbM,Open Office | Domiciliation des entreprises à Martil,5.0,10,Business center,9:30 AM–6 PM
ChIJtzziXeYtdA0ROKSW4ztFLaY,Work Space,3.3,3,Coffee shop,
ChIJU9utzD1tpw0RIY-VhDk5Xys,Coworkinn,3.7,6,Coworking space,Open 24 hours
ChIJdfO5yhklsA0RNU93R1Cu0Rw,Ait El Haouz space,4.3,10,Cafe,8 AM–12 AM
ChIJnaOwhRt6tA0RxmgWqpfmvgg,Espace Socio-culturel,4.0,4,Coworking space,
ChIJ0d_ZquXvrw0Rv9YQrKVpreg,Regus -Marrakech - M Avenue,4.1,44,Office space rental agency,Open 24 hours
ChIJZRdbmkVNsg0RSvR4JC1Vego,Adventurekeys Surf Camp - Coworking Space - Yoga Retreat,4.5,290,Surf school,
ChIJxTReNwBtpw0RSS_c2Q3oPgQ,Eroomia,5.0,1,Coworking space,9 AM–8 PM
ChIJB9bfjlG3pw0RaaEUg7ZB5CQ,cloud business centre,5.0,7,Government office,9 AM–8 PM
ChIJ9-BoWl0Tpw0RLj-Cs5c3bZ8,Agora Space,0.0,0,Coworking space,9 AM–5 PM
ChIJK6nhogpZpw0RIstwnrLzPSc,A-To-Z Services Space,5.0,1,Coworking space,9 AM–9 PM
ChIJW9nOGcJXpQ0RaRDpmJC4Sac,Flouka Space,5.0,1,Volunteer organization,Open 24 hours
ChIJJ41bDgCDrQ0RFecNb9BFKAE,Nomads Colive & Work,0.0,0,Coworking space,
ChIJvUZOq2ttpw0RMdjMf1eqZNE,SoftSpace coworking,0.0,0,Coworking space,Open 24 hours
ChIJDTb-6LdNsg0RZiqVBcaTUj0,Bigblue Surf Hostel & Coworking Space - Taghazout,4.3,45,Hostel,
ChIJYyfW66ptpw0RSYcPzK-IDjc,work&GO business center,1.0,3,Coworking space,"9 AM–1 PM, 2:30–6:30 PM"
ChIJgcYz1CIrpQ0RhxT78LhyQmY,مقر جمعية النور للتنمية,0.0,0,Coworking space,
ChIJmcVAJ4zTpw0R_dnk7e81TJo,Spherecoworking,0.0,0,Coworking space,9 AM–8 PM
ChIJ76IPJwBrpQ0RdSSYj-b40II,Coworking Space Tamallalt,0.0,0,School,Open 24 hours
ChIJ2w1QqfiTnQ0RY0ipyPTjzVw,Brainstorming Cooworking space,0.0,0,Investment service,9:30 AM–8:30 PM
ChIJn-pIUitZpw0RvWoAqIS9JFU,Espace coworking,0.0,0,Coworking space,
ChIJb0XQdf19pA0RuXk0mHFEzsI,Espace Arraha,3.4,7,Coffee shop,9 AM–8 PM
ChIJpfsyk_uUCw0RJ666AHftKvc,Copy Centre Asilah,4.6,7,Digital printing service,8:30 AM–9 PM
ChIJqVNJhVeBCw0RFlGRMD1ODhI,Alpha co-working,4.1,87,Coworking space,8:30 AM–8:30 PM
ChIJ0wCmSmeVCw0Rq3Jjn9_YCw0,Startups' Market of Assilah - Incubator HUB ESMAROC,5.0,4,Tourist attraction,
ChIJIdcXY-yVCw0RgbGXN0cKcdU,Imagine Studio,0.0,0,Screen printer,
ChIJUTl1c_qUCw0RTSWLi-8EdYU,Asilah 32,4.4,251,Hotel,
ChIJt133YjOVCw0R6H-Gd1m2D4I,La Côte,2.5,721,Restaurant,
ChIJu-1POsybrQ0RfLaEOkU88vk,NOQTA SPACE | Coworking & Coliving Space in Essaouira,4.9,89,Coworking space,9 AM–8 PM
ChIJz_tHPD7vrw0RMGDUe_fzq4I,Coworking L'BLASSA,4.8,164,Coworking space,8 AM–9 PM
ChIJv677pfeUCw0Rp1YK6CQfpOI,Camping Echrigui,3.4,410,Campground,
ChIJU5q31TDTpw0RGKPTNinxHjU,Spaces - Casablanca Anfa Place,4.7,164,Office space rental agency,Open 24 hours
ChIJAaeD9n2zsw0RnJ4yGoCU8dw,Atlas Wonders Coworking Surf camp,4.7,82,Hotel,
ChIJK9qI60OBCw0Rq8XP-g5nOmE,EasyHub - Coworking,0.0,0,Coworking space,8:30 AM–5:30 PM
ChIJB2YC55n_h0URounDpbLbTy0,Espace Co-working de l'ESS,0.0,0,Coworking space,9 AM–5 PM
ChIJq55hcnjlqA0Rit3rapdpKcQ,Institut Tamkin معهد تمكين,5.0,2,Coworking space,Open 24 hours
ChIJ-1D47JflqA0RJGp___Wwnk8,Espace Joker,5.0,1,Coffee shop,
ChIJiY51VM3lqA0R8Bvx-3igjW8,المقاطعة,0.0,0,Community center,
ChIJNXUpGMvEoQ0RAP9yy0HBlac,Techno Centre Azrou,0.0,0,Corporate office,9:30 AM–9:30 PM
ChIJt4XVCADFoQ0RhvCacVdqLGA,فضاء الرسالة,5.0,1,Library,
ChIJf5m81WzFoQ0RV36M_rABqZU,Déco Jad,5.0,1,Interior designer,9 AM–6 PM
ChIJDZvjwE7boQ0R9gtlGXENMrc,Morocco Unexplored,4.7,32,Tourist attraction,
ChIJBRt8fADboQ0RNdMm9YjJGlA,K-36 la zone,0.0,0,Media company,
ChIJV_PgZszEoQ0Rr58VKxx2TVc,Le Vallon Vert - Club Equestre,3.6,153,Farmstay,
ChIJKYmgyiKHow0RhNLFWSEubuY,WeWork - Coworking & Entrepreneuriat Space,5.0,1,Coworking space,
ChIJm_Y9iDeHow0RsFWxPTV_5Po,Co-working120,5.0,2,Coworking space,11 AM–8 PM
ChIJBxflTr2How0RS9e176qYqN4,PARK MANAGEMENT PROJECT,5.0,6,Business center,9 AM–5 PM
ChIJSxgd15yHow0RrYNnJoViDn0,Centre d'affaire day,5.0,5,Business center,9 AM–4:30 PM
ChIJa5HnMhuHow0RV3hK9ULWwY4,librairie work bureau مكتبة وورك بيرو,4.1,12,Book store,Open 24 hours
ChIJqWOQQgCHow0RhKdvgDAkrkI,Moroccan Center for Innovation and Social Entrepreneurship,5.0,7,Non-profit organization,10 AM–7 PM
ChIJOf2cTGojeA0RnLUmojtYsa4,Yello Coworking - Berkane,5.0,1,Coworking space,9 AM–6:30 PM
ChIJvYYIE5c9pg0Rc5GaejojMqc,cfp coworking,0.0,0,Coworking space,
ChIJkVrsWgDxhA0RNeX9k578U5Y,خدمات إلكترونية,0.0,0,Internet cafe,Open 24 hours
ChIJx8xRmfXTpw0REN692N4oJAE,KOWORK ANFA,4.9,31,Coworking space,Open 24 hours
ChIJv-n5QxjTpw0RTj0OlQezP3M,KOWORK ANFA PLACE,4.9,64,Coworking space,Open 24 hours
ChIJSVTYYXnTpw0R1AC1r1Cc6to,Mow Coworking,4.9,90,Coworking space,8:30 AM–7 PM
ChIJb9XCkw7Tpw0R0nUN8OgAMcw,COWORK&LIVE - Coworking Bureaux et Salles de réunion à Casablanca,4.9,66,Coworking space,Open 24 hours
ChIJjzAuNgAvpg0R6vakja4iHxg,One Workplace - Coworking Space,5.0,14,Coworking space,8:30 AM–6:30 PM
ChIJNcdcFADTpw0RqQ82V7paggs,Syllabus Coworking,4.9,188,Coworking space,Open 24 hours
ChIJ6X5mjIfNpw0R6vKFIuqbQB0,Creators Space,4.9,18,Coworking space,7 AM–10 PM
ChIJY7q23ejvrw0R2QW2R8uNu_c,syllabus_coworking,4.9,180,Coworking space,Open 24 hours
ChIJd7Ln04XxhA0RosyOS5bWgSE,ONE,0.0,0,Government office,
ChIJeTmQSVidpg0RWKMydHLj1JA,NG-TECH,5.0,1,Software company,8 AM–8 PM
ChIJI5y0ZHCfpg0R3eSmiNq8oF8,Espace Services YAS/KHA,0.0,0,Printing equipment supplier,9 AM–10 PM
ChIJi1iPaeifpg0RpgydJU5JIp8,الجماعة الترابية بوجنيبة,0.0,0,Community center,8 AM–6 PM
ChIJTdVGv_cnpA0RHaOQDzbL80Y,The Leader - Cpfoe,5.0,1,Training centre,
ChIJHa44_PLNpw0RH0WBwyl7vOI,Space Business Company,5.0,2,Financial planner,8:30 AM–7 PM
ChIJ773pyOzSpw0RkNp_e9lPW_k,New Work Lab: Coworking Casablanca,4.1,55,Coworking space,9 AM–7 PM
ChIJ59QnafG3pw0Rn6RrnuHgIRM,AGEFIC BUSINESS CENTER PREMIUM,4.5,16,Business center,9 AM–5 PM
ChIJbwfIOocppA0RGESsvmptApY,L'fabrika,4.7,3,Community center,9 AM–5 PM
ChIJOaUrUdxpnw0R4qfpPyJTCwE,Salhymehdy,0.0,0,Coworking space,
ChIJVyDw8qInpA0RgxGGSLmm8Ys,Affaires.ma,5.0,1,Investment service,Open 24 hours
ChIJg9zbXKEnpA0RzRZ_HYsAOX8,CINK - Khotwa-tech Digital Innovation Center,0.0,0,Business center,9:30 AM–4 PM
ChIJ9wRYypeHow0RX-MgXl_gjFg,LOCAZEN,0.0,0,Virtual office rental,9 AM–8 PM
ChIJzyB9MpAnpA0RvK0YNdVBZ4w,ESPACE 9,5.0,8,Architecture firm,9 AM–5 PM
ChIJa_AkawAnpA0R8WGzSWlm_j0,Espace Mouvement,0.0,0,Government office,
ChIJbUStOe6dpg0ReWmfe8At518,GROUP AFRICAIN BUSINESS COMPANY,3.0,2,Establishment,9 AM–7 PM
ChIJv4F1AgCnpw0ReXysGJ6HcxY,BOUZNIKA BUSINESS CENTER,5.0,3,Business center,8 AM–6 PM
ChIJC3TaNsenpw0RjY6ZZQYzP8c,Espace Frindy,4.1,79,Cafe,6 AM–12 AM
ChIJpd1NBKenpw0Ru1fUDEucxv4,Espace Sokayna,2.8,8,Bar,
ChIJ0Vz475xtpw0Rsk2ElFY_XPw,AI HUB Coworking Space Rabat,4.9,148,Coworking space,8 AM–8 PM
ChIJqyKbwdxrpw0R2QXvjnXcE5E,Workstudio,4.7,151,Coworking space,9 AM–8 PM
ChIJtfuf0ITNpw0RrZiulm88ZWk,Commons Zerktouni,4.8,212,Coworking space,Open 24 hours
ChIJWW3scgCxpw0RfjUXFAKHlJM,COWORKING SERVICES,5.0,2,Government office,8:30 AM–6 PM
ChIJ1ertlnqnpw0RFX-1H4kMHRQ,error,0.0,0,Vacation home rental agency,
ChIJZSLffQC3pw0R6_v8aIAuHMQ,Overflow Coworking Space,4.7,17,Coworking space,
ChIJkwyxwO3Spw0R4pGf7awgu_8,GO4Work,4.7,37,Coworking space,9 AM–7 PM
ChIJjUSSGF3Tpw0R67wU2Xt-AZQ,KOWORK MASSIRA,4.6,56,Coworking space,Open 24 hours
ChIJ7_t3F5VNP2UR-CQD2KYxraE,Co-space Casablanca,4.6,22,Coworking space,8:30 AM–6:30 PM
ChIJ0ze10OjSpw0RpzMDSQg4yKQ,WeStartUp : CRÉATION ET DOMICILIATION d'entreprise | Espaces de Coworking à Casablanca,4.9,15,Coworking space,9 AM–6 PM
ChIJrSD2JwAtpg0R468mI-HE9Q4,EASY DESK,5.0,41,Coworking space,9 AM–12 AM
ChIJfVlGR2bTpw0RDpqy_USqEMw,Al Makane Coworking,5.0,1,Coworking space,8:30 AM–7 PM
ChIJhyw3U_rTpw0RWch1D1ddu8c,Le Hub Casablanca,5.0,2,Coworking space,Open 24 hours
ChIJDQ1l1E3Tpw0Rtx2FF0XVV40,La Casa Coworking,4.5,55,Coworking space,Open 24 hours
ChIJhxcUdADTpw0RJ8zBEeam-lE,LUMON COWORKING,5.0,2,Coworking space,Open 24 hours
ChIJJ-hyzX0tpg0ReL_grAoIBFo,SpaceX Coworking,4.7,25,Corporate office,8:30 AM–4 PM
ChIJXYP4zQctpg0RM0I2TMOe_Bw,My Desk Business Center,4.9,31,Coworking space,8:30 AM–6 PM
ChIJAWa_Se7Tpw0RSs8xntrqjlk,Koon Casablanca,5.0,16,Coworking space,9 AM–8 PM
ChIJw-0e0knTpw0RNOSE4qUey9c,KOWORK CFC,4.8,27,Coworking space,Open 24 hours
ChIJeZzullfTpw0RnSCUAgR69pI,Seedpace Casablanca,5.0,2,Coworking space,Open 24 hours
ChIJ7w3QWBXTpw0R5or3lqGOcRI,Worklab coworking casablanca,5.0,1,Coworking space,8:30 AM–7:30 PM
ChIJiQvBh7vTpw0REM4VNxPZBtg,Mind office,5.0,17,Coworking space,9 AM–6 PM
ChIJV--VRY_Tpw0RLeY1OP8rkjE,KOWORK ONOMO MASSIRA,5.0,13,Coworking space,Open 24 hours
ChIJxSydJ1vTpw0R7EXV4oLkJgA,Space to Work,5.0,5,Coworking space,9 AM–7 PM
ChIJ4VEulJTSpw0RPQ8qoQup8Co,My Enterprise.ma,4.7,9,Coworking space,9 AM–3 PM
ChIJwZAY7qYtpg0RkSge8q-wfd4,ANFA CITY WORKING CENTER,4.5,12,Coworking space,8:30 AM–7 PM
ChIJHVyRwbDSpw0RPfO-NjUWDpE,"Regus - Casablanca, Abdelmoumen",4.3,33,Office space rental agency,Open 24 hours
ChIJHRghY5XNpw0RyNUpnM7tHjI,Centre 2.0,4.8,4,Coworking space,
ChIJuRAP7bvSpw0RDFIKVEeYjDg,Maroc,5.0,1,Coworking space,
ChIJS2es0uLTpw0R6sx4h7savpU,Work Easy (WorkEasy.ma),4.0,5,Coworking space,9 AM–6 PM
ChIJceR7YEHTpw0RaBrXQ9iKH6A,My Shary Space,4.3,17,Coworking space,
ChIJPXazEADTpw0RSUquR-uojkQ,BTOBFocus,5.0,5,Coworking space,9 AM–7 PM
ChIJSWWx_OzSpw0RWh-or_Jhi30,Work Lounge Coworking Business Center,4.2,6,Business center,9:30 AM–6:30 PM
